Fecha;Moneda;Saldo;TC Oficial;Saldo (BOB);Cod Agencia;Agencia;;
2023-11-03;BOB;104073,10;1;104073,10;401;AGENCIA ORURO CENTRAL;;
2023-11-03;CLP;180000,00;0,00767;1380,60;401;AGENCIA ORURO CENTRAL;;
2023-11-03;BRL;0,00;1,37447;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-03;EUR;470,00;7,22493;3395,72;401;AGENCIA ORURO CENTRAL;;
2023-11-03;PEN;0,00;1,78711;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-03;USD;995,00;6,86;6825,70;501;AGENCIA UYUNI;;
2023-11-03;BOB;39075,50;1;39075,50;501;AGENCIA UYUNI;;
2023-11-03;CLP;731200,00;0,00767;5608,30;501;AGENCIA UYUNI;;
2023-11-03;BRL;0,00;1,37447;0,00;501;AGENCIA UYUNI;;
2023-11-03;EUR;530,00;7,22493;3829,21;501;AGENCIA UYUNI;;
2023-11-03;PEN;0,00;1,78711;0,00;501;AGENCIA UYUNI;;
2023-11-03;USD;16050,00;6,86;110103,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-03;BOB;239109,80;1;239109,80;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-03;CLP;0,00;0,00767;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-03;BRL;0,00;1,37447;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-03;EUR;0,00;7,22493;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-03;PEN;0,00;1,78711;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-03;USD;250,00;6,86;1715,00;702;AGENCIA YAPACANI;;
2023-11-03;BOB;24667,00;1;24667,00;702;AGENCIA YAPACANI;;
2023-11-03;CLP;2727000,00;0,00767;20916,09;702;AGENCIA YAPACANI;;
2023-11-03;BRL;79,00;1,37447;108,58;702;AGENCIA YAPACANI;;
2023-11-03;EUR;2620,00;7,22493;18929,32;702;AGENCIA YAPACANI;;
2023-11-03;ARS;0,00;0,0196;0,00;702;AGENCIA YAPACANI;;
2023-11-03;PEN;0,00;1,78711;0,00;702;AGENCIA YAPACANI;;
2023-11-04;USD;2887,00;6,86;19804,82;101;AGENCIA SUCRE CENTRAL;;
2023-11-04;BOB;25216,10;1;25216,10;101;AGENCIA SUCRE CENTRAL;;
2023-11-04;CLP;0,00;0,00767;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-04;BRL;0,00;1,37447;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-04;EUR;0,00;7,22493;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-04;ARS;0,00;0,0196;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-04;PEN;0,00;1,78711;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-04;USD;108839,00;6,86;746635,54;202;AGENCIA COLON;;
2023-11-04;BOB;19626,50;1;19626,50;202;AGENCIA COLON;;
2023-11-04;CLP;4317000,00;0,00767;33111,39;202;AGENCIA COLON;;
